"Metrics/step_episode","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Metrics/EpProgress","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MAX"
"13463","","","","","","","21684","21684","21684","1","1","1","39428","39428","39428","1","1","1","21418","21418","21418","1","1","1","","","","","","","21485","21485","21485","1","1","1"
"13464","","","","","","","","","","","","","","","","","","","","","","","","","21422","21422","21422","1","1","1","","","","","",""
"13465","","","","","","","","","","","","","","","","","","","21422","21422","21422","1","1","1","21423","21423","21423","1","1","1","","","","","",""
"13466","21569","21569","21569","1","1","1","21689","21689","21689","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13467","","","","","","","","","","","","","","","","","","","","","","","","","21427","21427","21427","1","1","1","21491","21491","21491","1","1","1"
"13468","","","","","","","21692","21692","21692","1","1","1","","","","","","","","","","","","","21429","21429","21429","1","1","1","21492","21492","21492","1","1","1"
"13469","21573","21573","21573","1","1","1","21693","21693","21693","1","1","1","39447","39447","39447","1","1","1","21429","21429","21429","0.8","0.8","0.8","","","","","","","","","","","",""
"13470","21574","21574","21574","1","1","1","","","","","","","","","","","","","","","","","","","21431","21431","21431","1","1","1","","","","","",""
"13471","21577","21577","21577","1","1","1","21697","21697","21697","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13473","","","","","","","21699","21699","21699","1","1","1","","","","","","","","","","","","","21436","21436","21436","1","1","1","21500","21500","21500","1","1","1"
"13475","","","","","","","","","","","","","","","","","","","21440","21440","21440","1","1","1","","","","","","","21502","21502","21502","1","1","1"
"13476","21585","21585","21585","1","1","1","21705","21705","21705","1","1","1","39469","39469","39469","1","1","1","21441","21441","21441","1","1","1","","","","","","","","","","","",""
"13477","","","","","","","","","","","","","","","","","","","","","","","","","21443","21443","21443","1","1","1","21507","21507","21507","1","1","1"
"13478","21587","21587","21587","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13479","21588","21588","21588","1","1","1","","","","","","","39478","39478","39478","0.8","0.8","0.8","","","","","","","21445","21445","21445","1","1","1","21509","21509","21509","1","1","1"
"13480","","","","","","","","","","","","","","","","","","","","","","","","","21446","21446","21446","1","1","1","","","","","",""
"13481","21592","21592","21592","1","1","1","21713","21713","21713","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13482","","","","","","","21714","21714","21714","1","1","1","39488","39488","39488","0.8","0.8","0.8","","","","","","","21453","21453","21453","1","1","1","","","","","",""
"13483","21595","21595","21595","1","1","1","21715","21715","21715","1","1","1","39491","39491","39491","1","1","1","21451","21451","21451","1","1","1","","","","","","","","","","","",""
"13484","21596","21596","21596","1","1","1","","","","","","","39494","39494","39494","1","1","1","21452","21452","21452","1","1","1","","","","","","","","","","","",""
"13485","","","","","","","","","","","","","39497","39497","39497","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"13486","21600","21600","21600","1","1","1","","","","","","","39500","39500","39500","1","1","1","21456","21456","21456","1","1","1","","","","","","","","","","","",""
"13487","","","","","","","21722","21722","21722","1","1","1","39504","39504","39504","1","1","1","21457","21457","21457","1","1","1","","","","","","","","","","","",""
"13489","","","","","","","21724","21724","21724","1","1","1","39510","39510","39510","1","1","1","21460","21460","21460","1","1","1","21463","21463","21463","1","1","1","21524","21524","21524","1","1","1"
"13490","21605","21605","21605","1","1","1","21725","21725","21725","1","1","1","39513","39513","39513","1","1","1","21463","21463","21463","1","1","1","","","","","","","21525","21525","21525","1","1","1"
"13491","21608","21608","21608","1","1","1","","","","","","","","","","","","","21464","21464","21464","1","1","1","","","","","","","","","","","",""
"13492","21609","21609","21609","1","1","1","21729","21729","21729","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13493","","","","","","","","","","","","","","","","","","","","","","","","","21469","21469","21469","1","1","1","","","","","",""
"13494","21611","21611","21611","1","1","1","","","","","","","39526","39526","39526","0.8","0.8","0.8","","","","","","","21470","21470","21470","1","1","1","","","","","",""
"13495","","","","","","","","","","","","","39529","39529","39529","1","1","1","","","","","","","","","","","","","","","","","",""
"13496","","","","","","","21736","21736","21736","1","1","1","39532","39532","39532","1","1","1","","","","","","","21473","21473","21473","1","1","1","","","","","",""
"13497","21617","21617","21617","1","1","1","21737","21737","21737","1","1","1","39535","39535","39535","1","1","1","","","","","","","21476","21476","21476","1","1","1","21537","21537","21537","1","1","1"
"13499","","","","","","","21739","21739","21739","1","1","1","","","","","","","","","","","","","21478","21478","21478","1","1","1","21540","21540","21540","1","1","1"
"13500","","","","","","","","","","","","","","","","","","","","","","","","","21479","21479","21479","1","1","1","","","","","",""
"13501","","","","","","","21763","21763","21763","1","1","1","","","","","","","21499","21499","21499","1","1","1","21499","21499","21499","1","1","1","21561","21561","21561","1","1","1"
"13502","","","","","","","","","","","","","","","","","","","","","","","","","21503","21503","21503","1","1","1","","","","","",""
"13503","21644","21644","21644","1","1","1","","","","","","","39572","39572","39572","1","1","1","","","","","","","21504","21504","21504","1","1","1","21565","21565","21565","1","1","1"
"13504","","","","","","","","","","","","","","","","","","","21503","21503","21503","1","1","1","","","","","","","","","","","",""
"13505","","","","","","","21767","21767","21767","1","1","1","","","","","","","","","","","","","21506","21506","21506","1","1","1","21568","21568","21568","1","1","1"
"13506","","","","","","","","","","","","","","","","","","","","","","","","","21507","21507","21507","1","1","1","","","","","",""
"13507","21651","21651","21651","1","1","1","21771","21771","21771","1","1","1","39584","39584","39584","1","1","1","","","","","","","","","","","","","","","","","",""
"13508","","","","","","","21773","21773","21773","1","1","1","39588","39588","39588","0.8","0.8","0.8","21509","21509","21509","1","1","1","21511","21511","21511","1","1","1","","","","","",""
"13509","","","","","","","21774","21774","21774","1","1","1","","","","","","","21511","21511","21511","1","1","1","","","","","","","21574","21574","21574","1","1","1"
"13510","21655","21655","21655","1","1","1","","","","","","","39594","39594","39594","1","1","1","21512","21512","21512","1","1","1","","","","","","","21575","21575","21575","1","1","1"
"13511","21658","21658","21658","1","1","1","","","","","","","","","","","","","21515","21515","21515","1","1","1","21515","21515","21515","1","1","1","21576","21576","21576","1","1","1"
"13512","","","","","","","","","","","","","39600","39600","39600","0.8","0.8","0.8","","","","","","","21518","21518","21518","0.8","0.8","0.8","21580","21580","21580","1","1","1"
"13513","21660","21660","21660","1","1","1","","","","","","","","","","","","","","","","","","","21521","21521","21521","1","1","1","21581","21581","21581","1","1","1"
"13515","","","","","","","","","","","","","39610","39610","39610","0.8","0.8","0.8","","","","","","","","","","","","","21583","21583","21583","1","1","1"
"13516","","","","","","","","","","","","","","","","","","","","","","","","","21525","21525","21525","1","1","1","21584","21584","21584","1","1","1"
"13517","","","","","","","","","","","","","","","","","","","21524","21524","21524","1","1","1","","","","","","","21587","21587","21587","1","1","1"
"13518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21588","21588","21588","1","1","1"
"13519","","","","","","","","","","","","","","","","","","","","","","","","","21530","21530","21530","1","1","1","","","","","",""
"13520","","","","","","","","","","","","","39625","39625","39625","0.8","0.8","0.8","","","","","","","21531","21531","21531","1","1","1","21591","21591","21591","1","1","1"
"13521","","","","","","","21793","21793","21793","0.8","0.8","0.8","","","","","","","21530","21530","21530","1","1","1","","","","","","","21592","21592","21592","1","1","1"
"13523","","","","","","","21798","21798","21798","1","1","1","","","","","","","21533","21533","21533","1","1","1","","","","","","","","","","","",""
"13524","","","","","","","","","","","","","39638","39638","39638","0.8","0.8","0.8","","","","","","","","","","","","","21597","21597","21597","1","1","1"
"13525","21678","21678","21678","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13526","","","","","","","","","","","","","","","","","","","21538","21538","21538","1","1","1","21540","21540","21540","1","1","1","","","","","",""
"13528","21683","21683","21683","1","1","1","","","","","","","39650","39650","39650","1","1","1","","","","","","","21544","21544","21544","1","1","1","","","","","",""
"13529","","","","","","","21809","21809","21809","1","1","1","","","","","","","21541","21541","21541","1","1","1","","","","","","","21605","21605","21605","1","1","1"
"13530","21685","21685","21685","1","1","1","","","","","","","","","","","","","21543","21543","21543","1","1","1","","","","","","","21606","21606","21606","1","1","1"
"13531","","","","","","","","","","","","","39660","39660","39660","1","1","1","","","","","","","","","","","","","","","","","",""
"13532","","","","","","","21812","21812","21812","1","1","1","","","","","","","21547","21547","21547","1","1","1","21549","21549","21549","1","1","1","21611","21611","21611","1","1","1"
"13533","","","","","","","21815","21815","21815","1","1","1","39666","39666","39666","0.8","0.8","0.8","","","","","","","","","","","","","21612","21612","21612","1","1","1"
"13534","21692","21692","21692","1","1","1","","","","","","","39669","39669","39669","1","1","1","","","","","","","","","","","","","","","","","",""
"13535","","","","","","","","","","","","","","","","","","","","","","","","","21554","21554","21554","1","1","1","","","","","",""
"13536","","","","","","","","","","","","","","","","","","","21553","21553","21553","1","1","1","21555","21555","21555","1","1","1","21615","21615","21615","1","1","1"
"13538","","","","","","","21823","21823","21823","1","1","1","","","","","","","","","","","","","21560","21560","21560","1","1","1","21619","21619","21619","1","1","1"
"13539","21700","21700","21700","1","1","1","","","","","","","","","","","","","","","","","","","21561","21561","21561","1","1","1","21621","21621","21621","1","1","1"
"13540","21701","21701","21701","1","1","1","","","","","","","39688","39688","39688","1","1","1","","","","","","","","","","","","","","","","","",""
"13541","21704","21704","21704","1","1","1","","","","","","","39691","39691","39691","1","1","1","","","","","","","","","","","","","21623","21623","21623","1","1","1"
"13542","","","","","","","21827","21827","21827","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13544","","","","","","","","","","","","","","","","","","","21567","21567","21567","1","1","1","21569","21569","21569","1","1","1","21628","21628","21628","1","1","1"
"13545","","","","","","","","","","","","","39704","39704","39704","1","1","1","21568","21568","21568","1","1","1","","","","","","","","","","","",""
"13546","","","","","","","21834","21834","21834","1","1","1","","","","","","","21569","21569","21569","1","1","1","","","","","","","21630","21630","21630","1","1","1"
"13547","","","","","","","","","","","","","39710","39710","39710","0.8","0.8","0.8","21572","21572","21572","1","1","1","21572","21572","21572","1","1","1","","","","","",""
"13548","","","","","","","21838","21838","21838","1","1","1","","","","","","","","","","","","","21575","21575","21575","1","1","1","21635","21635","21635","1","1","1"
"13550","","","","","","","21841","21841","21841","1","1","1","","","","","","","21575","21575","21575","1","1","1","21578","21578","21578","1","1","1","","","","","",""
"13551","21719","21719","21719","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13552","","","","","","","","","","","","","","","","","","","21580","21580","21580","1","1","1","","","","","","","","","","","",""
"13553","","","","","","","","","","","","","","","","","","","","","","","","","21583","21583","21583","1","1","1","","","","","",""
"13554","","","","","","","21847","21847","21847","1","1","1","39732","39732","39732","1","1","1","21582","21582","21582","1","1","1","","","","","","","","","","","",""
"13555","21726","21726","21726","1","1","1","21848","21848","21848","1","1","1","","","","","","","21583","21583","21583","1","1","1","","","","","","","","","","","",""
"13556","21727","21727","21727","1","1","1","21850","21850","21850","1","1","1","39738","39738","39738","1","1","1","21584","21584","21584","1","1","1","21586","21586","21586","1","1","1","","","","","",""
"13557","","","","","","","21851","21851","21851","1","1","1","","","","","","","","","","","","","","","","","","","21649","21649","21649","1","1","1"
"13558","","","","","","","21854","21854","21854","1","1","1","39745","39745","39745","1","1","1","","","","","","","","","","","","","","","","","",""
"13559","","","","","","","","","","","","","39748","39748","39748","1","1","1","","","","","","","","","","","","","21651","21651","21651","1","1","1"
"13560","21734","21734","21734","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","21653","21653","21653","1","1","1"
"13561","","","","","","","","","","","","","","","","","","","21592","21592","21592","1","1","1","","","","","","","21654","21654","21654","1","1","1"
"13562","","","","","","","21858","21858","21858","1","1","1","","","","","","","21595","21595","21595","1","1","1","21595","21595","21595","1","1","1","21657","21657","21657","1","1","1"
"13563","","","","","","","21862","21862","21862","1","1","1","39760","39760","39760","1","1","1","","","","","","","","","","","","","","","","","",""
"13564","","","","","","","21863","21863","21863","1","1","1","39764","39764","39764","1","1","1","","","","","","","","","","","","","21659","21659","21659","1","1","1"
"13565","","","","","","","21864","21864","21864","1","1","1","","","","","","","","","","","","","","","","","","","21660","21660","21660","1","1","1"
"13566","","","","","","","","","","","","","39770","39770","39770","0.8","0.8","0.8","","","","","","","21602","21602","21602","1","1","1","","","","","",""
"13567","21746","21746","21746","0.8","0.8","0.8","21866","21866","21866","1","1","1","","","","","","","","","","","","","21603","21603","21603","1","1","1","","","","","",""
"13568","","","","","","","","","","","","","","","","","","","","","","","","","21606","21606","21606","1","1","1","21666","21666","21666","1","1","1"
"13569","","","","","","","21870","21870","21870","1","1","1","","","","","","","21605","21605","21605","1","1","1","","","","","","","21667","21667","21667","1","1","1"
"13570","","","","","","","21872","21872","21872","1","1","1","","","","","","","","","","","","","21608","21608","21608","1","1","1","21668","21668","21668","1","1","1"
"13571","21752","21752","21752","1","1","1","","","","","","","","","","","","","21607","21607","21607","1","1","1","21610","21610","21610","1","1","1","21669","21669","21669","1","1","1"
"13572","21753","21753","21753","1","1","1","21874","21874","21874","1","1","1","39789","39789","39789","1","1","1","21611","21611","21611","1","1","1","21611","21611","21611","1","1","1","","","","","",""
"13573","","","","","","","21877","21877","21877","1","1","1","39792","39792","39792","1","1","1","","","","","","","21614","21614","21614","1","1","1","","","","","",""
"13574","21758","21758","21758","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13575","","","","","","","21879","21879","21879","1","1","1","","","","","","","21614","21614","21614","1","1","1","21616","21616","21616","1","1","1","","","","","",""
"13576","","","","","","","21880","21880","21880","1","1","1","39801","39801","39801","1","1","1","","","","","","","","","","","","","","","","","",""
"13577","","","","","","","","","","","","","39804","39804","39804","1","1","1","","","","","","","21618","21618","21618","1","1","1","","","","","",""
"13578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21681","21681","21681","1","1","1"
"13579","","","","","","","21886","21886","21886","1","1","1","39811","39811","39811","1","1","1","","","","","","","","","","","","","21682","21682","21682","1","1","1"
"13580","21767","21767","21767","1","1","1","","","","","","","39814","39814","39814","1","1","1","","","","","","","","","","","","","21683","21683","21683","1","1","1"
"13581","","","","","","","","","","","","","39817","39817","39817","1","1","1","21623","21623","21623","1","1","1","","","","","","","","","","","",""
"13583","","","","","","","","","","","","","","","","","","","21627","21627","21627","1","1","1","21629","21629","21629","1","1","1","","","","","",""
"13585","21774","21774","21774","1","1","1","21895","21895","21895","1","1","1","","","","","","","","","","","","","21632","21632","21632","1","1","1","21691","21691","21691","1","1","1"
"13586","21775","21775","21775","1","1","1","","","","","","","","","","","","","","","","","","","21633","21633","21633","1","1","1","21692","21692","21692","1","1","1"
"13587","","","","","","","21897","21897","21897","1","1","1","39836","39836","39836","0.8","0.8","0.8","","","","","","","","","","","","","21695","21695","21695","1","1","1"
"13588","21780","21780","21780","1","1","1","","","","","","","39839","39839","39839","1","1","1","21635","21635","21635","1","1","1","21637","21637","21637","1","1","1","21697","21697","21697","1","1","1"
"13589","","","","","","","","","","","","","39842","39842","39842","0.8","0.8","0.8","21636","21636","21636","1","1","1","","","","","","","21698","21698","21698","1","1","1"
"13590","","","","","","","21902","21902","21902","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13591","","","","","","","21904","21904","21904","1","1","1","39848","39848","39848","1","1","1","","","","","","","21640","21640","21640","1","1","1","","","","","",""
"13592","","","","","","","21905","21905","21905","1","1","1","","","","","","","","","","","","","","","","","","","21703","21703","21703","1","1","1"
"13593","","","","","","","","","","","","","39855","39855","39855","1","1","1","","","","","","","21645","21645","21645","0.8","0.8","0.8","","","","","",""
"13594","","","","","","","21909","21909","21909","1","1","1","","","","","","","","","","","","","","","","","","","21705","21705","21705","1","1","1"
"13595","","","","","","","","","","","","","39861","39861","39861","1","1","1","21645","21645","21645","1","1","1","","","","","","","21707","21707","21707","1","1","1"
"13596","21791","21791","21791","1","1","1","21911","21911","21911","1","1","1","","","","","","","21646","21646","21646","1","1","1","21650","21650","21650","1","1","1","21708","21708","21708","1","1","1"
"13597","","","","","","","21912","21912","21912","1","1","1","","","","","","","21649","21649","21649","1","1","1","21651","21651","21651","1","1","1","21711","21711","21711","1","1","1"
"13598","21795","21795","21795","1","1","1","21916","21916","21916","1","1","1","","","","","","","","","","","","","","","","","","","21712","21712","21712","1","1","1"
"13599","21796","21796","21796","1","1","1","21917","21917","21917","1","1","1","39874","39874","39874","0.8","0.8","0.8","","","","","","","","","","","","","21713","21713","21713","1","1","1"
"13600","21797","21797","21797","1","1","1","","","","","","","","","","","","","","","","","","","21657","21657","21657","1","1","1","21714","21714","21714","1","1","1"
"13601","","","","","","","21937","21937","21937","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13602","","","","","","","21938","21938","21938","1","1","1","","","","","","","","","","","","","21678","21678","21678","1","1","1","","","","","",""
"13603","21822","21822","21822","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13604","21823","21823","21823","1","1","1","","","","","","","","","","","","","21677","21677","21677","1","1","1","","","","","","","","","","","",""
"13605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21741","21741","21741","1","1","1"
"13606","","","","","","","21947","21947","21947","1","1","1","","","","","","","21680","21680","21680","1","1","1","21689","21689","21689","0.8","0.8","0.8","","","","","",""
"13607","","","","","","","21948","21948","21948","1","1","1","39917","39917","39917","1","1","1","21683","21683","21683","1","1","1","21692","21692","21692","1","1","1","","","","","",""
"13608","","","","","","","","","","","","","","","","","","","21684","21684","21684","1","1","1","","","","","","","","","","","",""
"13609","","","","","","","21952","21952","21952","1","1","1","39923","39923","39923","1","1","1","","","","","","","","","","","","","","","","","",""
"13610","","","","","","","","","","","","","","","","","","","","","","","","","21695","21695","21695","1","1","1","21749","21749","21749","1","1","1"
"13611","21833","21833","21833","1","1","1","","","","","","","39929","39929","39929","1","1","1","","","","","","","","","","","","","","","","","",""
"13612","","","","","","","","","","","","","39933","39933","39933","1","1","1","21690","21690","21690","1","1","1","","","","","","","","","","","",""
"13613","","","","","","","","","","","","","39936","39936","39936","1","1","1","","","","","","","21701","21701","21701","1","1","1","","","","","",""
"13614","","","","","","","","","","","","","","","","","","","21693","21693","21693","1","1","1","","","","","","","","","","","",""
"13615","21840","21840","21840","1","1","1","21961","21961","21961","1","1","1","","","","","","","","","","","","","21703","21703","21703","1","1","1","","","","","",""
"13616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21758","21758","21758","1","1","1"
"13617","","","","","","","","","","","","","","","","","","","21698","21698","21698","1","1","1","21707","21707","21707","1","1","1","21761","21761","21761","1","1","1"
"13618","","","","","","","21964","21964","21964","1","1","1","39951","39951","39951","1","1","1","21699","21699","21699","1","1","1","","","","","","","21762","21762","21762","1","1","1"
"13619","","","","","","","","","","","","","39955","39955","39955","1","1","1","21700","21700","21700","1","1","1","","","","","","","","","","","",""
"13621","","","","","","","21970","21970","21970","1","1","1","39961","39961","39961","1","1","1","21703","21703","21703","1","1","1","21712","21712","21712","1","1","1","21765","21765","21765","1","1","1"
"13622","","","","","","","21971","21971","21971","1","1","1","","","","","","","","","","","","","21715","21715","21715","1","1","1","","","","","",""
"13623","21853","21853","21853","1","1","1","21972","21972","21972","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13624","21854","21854","21854","1","1","1","","","","","","","39970","39970","39970","1","1","1","","","","","","","21717","21717","21717","1","1","1","","","","","",""
"13626","","","","","","","","","","","","","39977","39977","39977","1","1","1","21710","21710","21710","1","1","1","","","","","","","21775","21775","21775","1","1","1"
"13627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21776","21776","21776","1","1","1"
"13628","21861","21861","21861","0.8","0.8","0.8","","","","","","","39983","39983","39983","1","1","1","","","","","","","21724","21724","21724","1","1","1","21779","21779","21779","1","1","1"
"13629","","","","","","","","","","","","","","","","","","","","","","","","","21725","21725","21725","1","1","1","21781","21781","21781","1","1","1"
"13630","21865","21865","21865","1","1","1","","","","","","","","","","","","","21717","21717","21717","1","1","1","","","","","","","21782","21782","21782","1","1","1"
"13632","","","","","","","21987","21987","21987","1","1","1","","","","","","","","","","","","","21730","21730","21730","1","1","1","","","","","",""
"13633","21868","21868","21868","1","1","1","","","","","","","39999","39999","39999","1","1","1","21722","21722","21722","1","1","1","","","","","","","21787","21787","21787","1","1","1"
"13634","","","","","","","21991","21991","21991","1","1","1","","","","","","","","","","","","","","","","","","","21788","21788","21788","1","1","1"
"13635","21873","21873","21873","1","1","1","21992","21992","21992","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13636","21874","21874","21874","1","1","1","","","","","","","","","","","","","","","","","","","21735","21735","21735","1","1","1","","","","","",""
"13637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21792","21792","21792","1","1","1"
"13638","","","","","","","","","","","","","","","","","","","","","","","","","21739","21739","21739","1","1","1","21795","21795","21795","1","1","1"
"13639","","","","","","","21999","21999","21999","1","1","1","","","","","","","","","","","","","","","","","","","21796","21796","21796","1","1","1"
"13641","","","","","","","","","","","","","40024","40024","40024","0.8","0.8","0.8","21734","21734","21734","1","1","1","","","","","","","21798","21798","21798","1","1","1"
"13642","","","","","","","","","","","","","","","","","","","21737","21737","21737","1","1","1","","","","","","","","","","","",""
"13643","","","","","","","","","","","","","40030","40030","40030","1","1","1","21738","21738","21738","1","1","1","","","","","","","","","","","",""
"13644","","","","","","","","","","","","","","","","","","","","","","","","","21748","21748","21748","1","1","1","21804","21804","21804","1","1","1"
"13645","","","","","","","22007","22007","22007","1","1","1","","","","","","","21740","21740","21740","1","1","1","21749","21749","21749","1","1","1","","","","","",""
"13646","21889","21889","21889","1","1","1","","","","","","","40039","40039","40039","1","1","1","21741","21741","21741","1","1","1","","","","","","","","","","","",""
"13647","21890","21890","21890","1","1","1","22010","22010","22010","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13648","","","","","","","22011","22011","22011","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13649","","","","","","","","","","","","","40049","40049","40049","1","1","1","21747","21747","21747","1","1","1","","","","","","","21811","21811","21811","1","1","1"
"13650","21896","21896","21896","1","1","1","22015","22015","22015","1","1","1","40052","40052","40052","0.8","0.8","0.8","","","","","","","","","","","","","21813","21813","21813","1","1","1"
"13651","","","","","","","","","","","","","","","","","","","21749","21749","21749","1","1","1","","","","","","","","","","","",""
"13652","","","","","","","","","","","","","40058","40058","40058","1","1","1","21752","21752","21752","1","1","1","","","","","","","","","","","",""
"13653","","","","","","","22019","22019","22019","1","1","1","","","","","","","","","","","","","21762","21762","21762","1","1","1","","","","","",""
"13654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21819","21819","21819","1","1","1"
"13655","","","","","","","","","","","","","","","","","","","","","","","","","21765","21765","21765","1","1","1","","","","","",""
"13656","","","","","","","","","","","","","","","","","","","21757","21757","21757","1","1","1","21766","21766","21766","1","1","1","21821","21821","21821","1","1","1"
"13657","","","","","","","","","","","","","","","","","","","21760","21760","21760","1","1","1","21769","21769","21769","1","1","1","","","","","",""
"13658","21907","21907","21907","1","1","1","","","","","","","","","","","","","","","","","","","21770","21770","21770","1","1","1","","","","","",""
"13659","","","","","","","22029","22029","22029","1","1","1","","","","","","","21762","21762","21762","1","1","1","21771","21771","21771","1","1","1","","","","","",""
"13660","21911","21911","21911","1","1","1","22031","22031","22031","1","1","1","40083","40083","40083","1","1","1","","","","","","","","","","","","","","","","","",""
"13661","","","","","","","","","","","","","","","","","","","21765","21765","21765","1","1","1","21774","21774","21774","1","1","1","","","","","",""
"13663","","","","","","","22034","22034","22034","1","1","1","","","","","","","21769","21769","21769","1","1","1","","","","","","","","","","","",""
"13664","","","","","","","","","","","","","","","","","","","","","","","","","21779","21779","21779","1","1","1","21835","21835","21835","1","1","1"
"13665","","","","","","","","","","","","","40099","40099","40099","0.8","0.8","0.8","","","","","","","21780","21780","21780","1","1","1","","","","","",""
"13666","","","","","","","","","","","","","","","","","","","","","","","","","21781","21781","21781","1","1","1","","","","","",""
"13667","","","","","","","","","","","","","40105","40105","40105","1","1","1","21775","21775","21775","1","1","1","","","","","","","","","","","",""
"13668","","","","","","","","","","","","","","","","","","","21777","21777","21777","1","1","1","","","","","","","","","","","",""
"13669","","","","","","","22045","22045","22045","1","1","1","","","","","","","21778","21778","21778","1","1","1","21789","21789","21789","1","1","1","21844","21844","21844","1","1","1"
"13670","","","","","","","","","","","","","","","","","","","21779","21779","21779","1","1","1","","","","","","","","","","","",""
"13671","","","","","","","","","","","","","40118","40118","40118","1","1","1","21780","21780","21780","1","1","1","21791","21791","21791","1","1","1","","","","","",""
"13673","","","","","","","22049","22049","22049","1","1","1","","","","","","","","","","","","","21795","21795","21795","1","1","1","","","","","",""
"13674","21933","21933","21933","1","1","1","22053","22053","22053","1","1","1","","","","","","","","","","","","","","","","","","","21852","21852","21852","1","1","1"
"13675","21936","21936","21936","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13676","","","","","","","22055","22055","22055","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"13677","21939","21939","21939","1","1","1","","","","","","","","","","","","","21791","21791","21791","0.8","0.8","0.8","","","","","","","","","","","",""
