"Evaluate/step_episode","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MAX","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MAX","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MAX"
"1142","28306","28306","28306","1","1","1","27778","27778","27778","1","1","1","27927","27927","27927","1","1","1","52192","52192","52192","1","1","1","28191","28191","28191","1","1","1","28168","28168","28168","1","1","1","28262","28262","28262","1","1","1"
"1143","28471","28471","28471","0.8","0.8","0.8","27940","27940","27940","0.8","0.8","0.8","28088","28088","28088","1","1","1","52508","52508","52508","0.8","0.8","0.8","28353","28353","28353","1","1","1","28325","28325","28325","1","1","1","28423","28423","28423","1","1","1"
"1144","28473","28473","28473","1","1","1","27942","27942","27942","1","1","1","28090","28090","28090","1","1","1","52510","52510","52510","0.8","0.8","0.8","28355","28355","28355","1","1","1","28327","28327","28327","1","1","1","28425","28425","28425","1","1","1"
"1145","28475","28475","28475","1","1","1","27944","27944","27944","1","1","1","28092","28092","28092","1","1","1","52512","52512","52512","0.8","0.8","0.8","28357","28357","28357","1","1","1","28329","28329","28329","1","1","1","28427","28427","28427","1","1","1"
"1146","28477","28477","28477","1","1","1","27946","27946","27946","1","1","1","28094","28094","28094","1","1","1","52514","52514","52514","1","1","1","28359","28359","28359","1","1","1","28331","28331","28331","1","1","1","28429","28429","28429","1","1","1"
"1147","28479","28479","28479","1","1","1","27948","27948","27948","1","1","1","28096","28096","28096","1","1","1","52516","52516","52516","1","1","1","28361","28361","28361","1","1","1","28333","28333","28333","1","1","1","28431","28431","28431","1","1","1"
"1148","28481","28481","28481","1","1","1","27950","27950","27950","1","1","1","28098","28098","28098","1","1","1","52518","52518","52518","1","1","1","28363","28363","28363","1","1","1","28335","28335","28335","1","1","1","28433","28433","28433","1","1","1"
"1149","28483","28483","28483","1","1","1","27952","27952","27952","1","1","1","28100","28100","28100","1","1","1","52520","52520","52520","1","1","1","28365","28365","28365","1","1","1","28337","28337","28337","1","1","1","28435","28435","28435","1","1","1"
"1150","28485","28485","28485","1","1","1","27954","27954","27954","1","1","1","28102","28102","28102","1","1","1","52522","52522","52522","1","1","1","28367","28367","28367","1","1","1","28339","28339","28339","1","1","1","28437","28437","28437","1","1","1"
"1151","28487","28487","28487","1","1","1","27956","27956","27956","1","1","1","28104","28104","28104","1","1","1","52524","52524","52524","1","1","1","28369","28369","28369","1","1","1","28341","28341","28341","1","1","1","28439","28439","28439","1","1","1"
"1152","28649","28649","28649","0.8","0.8","0.8","28112","28112","28112","0.8","0.8","0.8","28261","28261","28261","1","1","1","52841","52841","52841","0.8","0.8","0.8","28530","28530","28530","1","1","1","28500","28500","28500","1","1","1","28598","28598","28598","1","1","1"
"1153","28651","28651","28651","1","1","1","28114","28114","28114","1","1","1","28263","28263","28263","1","1","1","52843","52843","52843","0.8","0.8","0.8","28532","28532","28532","1","1","1","28502","28502","28502","1","1","1","28600","28600","28600","0.8","0.8","0.8"
"1154","28653","28653","28653","1","1","1","28116","28116","28116","1","1","1","28265","28265","28265","1","1","1","52845","52845","52845","0.8","0.8","0.8","28534","28534","28534","1","1","1","28504","28504","28504","1","1","1","28602","28602","28602","0.8","0.8","0.8"
"1155","28655","28655","28655","0.8","0.8","0.8","28118","28118","28118","1","1","1","28267","28267","28267","1","1","1","52847","52847","52847","0.8","0.8","0.8","28536","28536","28536","1","1","1","28506","28506","28506","1","1","1","28604","28604","28604","1","1","1"
"1156","28657","28657","28657","1","1","1","28120","28120","28120","0.8","0.8","0.8","28269","28269","28269","1","1","1","52849","52849","52849","1","1","1","28538","28538","28538","1","1","1","28508","28508","28508","1","1","1","28606","28606","28606","1","1","1"
"1157","28659","28659","28659","1","1","1","28122","28122","28122","1","1","1","28271","28271","28271","1","1","1","52851","52851","52851","1","1","1","28540","28540","28540","1","1","1","28510","28510","28510","1","1","1","28608","28608","28608","1","1","1"
"1158","28661","28661","28661","1","1","1","28124","28124","28124","1","1","1","28273","28273","28273","1","1","1","52853","52853","52853","1","1","1","28542","28542","28542","1","1","1","28512","28512","28512","1","1","1","28610","28610","28610","1","1","1"
"1159","28663","28663","28663","1","1","1","28126","28126","28126","1","1","1","28275","28275","28275","1","1","1","52855","52855","52855","1","1","1","28544","28544","28544","1","1","1","28514","28514","28514","1","1","1","28612","28612","28612","1","1","1"
"1160","28665","28665","28665","1","1","1","28128","28128","28128","1","1","1","28277","28277","28277","1","1","1","52857","52857","52857","1","1","1","28546","28546","28546","1","1","1","28516","28516","28516","1","1","1","28614","28614","28614","1","1","1"
"1161","28828","28828","28828","0.8","0.8","0.8","28287","28287","28287","0.8","0.8","0.8","28436","28436","28436","1","1","1","53173","53173","53173","0.8","0.8","0.8","28708","28708","28708","1","1","1","28676","28676","28676","1","1","1","28777","28777","28777","1","1","1"
"1162","28830","28830","28830","1","1","1","28289","28289","28289","1","1","1","28438","28438","28438","1","1","1","53175","53175","53175","0.8","0.8","0.8","28710","28710","28710","1","1","1","28678","28678","28678","1","1","1","28779","28779","28779","1","1","1"
"1163","28832","28832","28832","1","1","1","28291","28291","28291","1","1","1","28440","28440","28440","1","1","1","53177","53177","53177","0.8","0.8","0.8","28712","28712","28712","1","1","1","28680","28680","28680","1","1","1","28781","28781","28781","0.8","0.8","0.8"
"1164","28834","28834","28834","1","1","1","28293","28293","28293","1","1","1","28442","28442","28442","1","1","1","53179","53179","53179","1","1","1","28714","28714","28714","1","1","1","28682","28682","28682","1","1","1","28783","28783","28783","1","1","1"
"1165","28836","28836","28836","1","1","1","28295","28295","28295","1","1","1","28444","28444","28444","1","1","1","53181","53181","53181","1","1","1","28716","28716","28716","1","1","1","28684","28684","28684","1","1","1","28785","28785","28785","1","1","1"
"1166","28838","28838","28838","1","1","1","28297","28297","28297","1","1","1","28446","28446","28446","1","1","1","53183","53183","53183","1","1","1","28718","28718","28718","1","1","1","28686","28686","28686","1","1","1","28787","28787","28787","0.8","0.8","0.8"
"1167","28840","28840","28840","1","1","1","28299","28299","28299","1","1","1","28448","28448","28448","1","1","1","53185","53185","53185","1","1","1","28720","28720","28720","1","1","1","28688","28688","28688","1","1","1","28789","28789","28789","1","1","1"
"1168","28842","28842","28842","1","1","1","28301","28301","28301","1","1","1","28450","28450","28450","1","1","1","53187","53187","53187","1","1","1","28722","28722","28722","1","1","1","28690","28690","28690","1","1","1","28791","28791","28791","1","1","1"
"1169","28844","28844","28844","1","1","1","28303","28303","28303","1","1","1","28452","28452","28452","1","1","1","53189","53189","53189","1","1","1","28724","28724","28724","1","1","1","28692","28692","28692","1","1","1","28793","28793","28793","1","1","1"
"1170","29004","29004","29004","0.8","0.8","0.8","28467","28467","28467","0.8","0.8","0.8","28616","28616","28616","1","1","1","53505","53505","53505","0.8","0.8","0.8","28883","28883","28883","1","1","1","28851","28851","28851","1","1","1","28953","28953","28953","1","1","1"
"1171","29006","29006","29006","1","1","1","28469","28469","28469","1","1","1","28618","28618","28618","1","1","1","53507","53507","53507","0.8","0.8","0.8","28885","28885","28885","1","1","1","28853","28853","28853","1","1","1","28955","28955","28955","0.8","0.8","0.8"
"1172","29008","29008","29008","0.8","0.8","0.8","28471","28471","28471","1","1","1","28620","28620","28620","1","1","1","53509","53509","53509","1","1","1","28887","28887","28887","1","1","1","28855","28855","28855","1","1","1","28957","28957","28957","0.8","0.8","0.8"
"1173","29010","29010","29010","1","1","1","28473","28473","28473","1","1","1","28622","28622","28622","1","1","1","53511","53511","53511","1","1","1","28889","28889","28889","1","1","1","28857","28857","28857","1","1","1","28959","28959","28959","1","1","1"
"1174","29012","29012","29012","1","1","1","28475","28475","28475","1","1","1","28624","28624","28624","1","1","1","53513","53513","53513","1","1","1","28891","28891","28891","1","1","1","28859","28859","28859","1","1","1","28961","28961","28961","1","1","1"
"1175","29014","29014","29014","1","1","1","28477","28477","28477","1","1","1","28626","28626","28626","0.8","0.8","0.8","53515","53515","53515","1","1","1","28893","28893","28893","1","1","1","28861","28861","28861","1","1","1","28963","28963","28963","1","1","1"
"1176","29016","29016","29016","1","1","1","28479","28479","28479","1","1","1","28628","28628","28628","1","1","1","53517","53517","53517","1","1","1","28895","28895","28895","1","1","1","28863","28863","28863","1","1","1","28965","28965","28965","1","1","1"
"1177","29018","29018","29018","1","1","1","28481","28481","28481","1","1","1","28630","28630","28630","1","1","1","53519","53519","53519","1","1","1","28897","28897","28897","1","1","1","28865","28865","28865","1","1","1","28967","28967","28967","1","1","1"
"1178","29020","29020","29020","1","1","1","28483","28483","28483","1","1","1","28632","28632","28632","1","1","1","53521","53521","53521","1","1","1","28899","28899","28899","1","1","1","28867","28867","28867","1","1","1","28969","28969","28969","1","1","1"
"1179","29185","29185","29185","0.8","0.8","0.8","28644","28644","28644","0.8","0.8","0.8","28794","28794","28794","1","1","1","53838","53838","53838","0.8","0.8","0.8","29063","29063","29063","1","1","1","29025","29025","29025","1","1","1","29129","29129","29129","1","1","1"
"1180","29187","29187","29187","0.8","0.8","0.8","28646","28646","28646","1","1","1","28796","28796","28796","1","1","1","53840","53840","53840","1","1","1","29065","29065","29065","1","1","1","29027","29027","29027","1","1","1","29131","29131","29131","0.8","0.8","0.8"
"1181","29189","29189","29189","1","1","1","28648","28648","28648","1","1","1","28798","28798","28798","1","1","1","53842","53842","53842","1","1","1","29067","29067","29067","1","1","1","29029","29029","29029","1","1","1","29133","29133","29133","0.8","0.8","0.8"
"1182","29191","29191","29191","1","1","1","28650","28650","28650","1","1","1","28800","28800","28800","1","1","1","53844","53844","53844","0.8","0.8","0.8","29069","29069","29069","1","1","1","29031","29031","29031","1","1","1","29135","29135","29135","1","1","1"
"1183","29193","29193","29193","1","1","1","28652","28652","28652","1","1","1","28802","28802","28802","1","1","1","53846","53846","53846","1","1","1","29071","29071","29071","1","1","1","29033","29033","29033","1","1","1","29137","29137","29137","1","1","1"
"1184","29195","29195","29195","1","1","1","28654","28654","28654","1","1","1","28804","28804","28804","1","1","1","53848","53848","53848","1","1","1","29073","29073","29073","1","1","1","29035","29035","29035","1","1","1","29139","29139","29139","1","1","1"
"1185","29197","29197","29197","1","1","1","28656","28656","28656","1","1","1","28806","28806","28806","1","1","1","53850","53850","53850","1","1","1","29075","29075","29075","1","1","1","29037","29037","29037","1","1","1","29141","29141","29141","1","1","1"
"1186","29199","29199","29199","1","1","1","28658","28658","28658","1","1","1","28808","28808","28808","1","1","1","53852","53852","53852","1","1","1","29077","29077","29077","1","1","1","29039","29039","29039","1","1","1","29143","29143","29143","1","1","1"
"1187","29201","29201","29201","1","1","1","28660","28660","28660","1","1","1","28810","28810","28810","1","1","1","53854","53854","53854","1","1","1","29079","29079","29079","1","1","1","29041","29041","29041","1","1","1","29145","29145","29145","1","1","1"
"1188","29359","29359","29359","0.8","0.8","0.8","28820","28820","28820","0.8","0.8","0.8","28974","28974","28974","1","1","1","54170","54170","54170","0.8","0.8","0.8","29242","29242","29242","0.8","0.8","0.8","29200","29200","29200","1","1","1","29310","29310","29310","1","1","1"
"1189","29361","29361","29361","1","1","1","28822","28822","28822","1","1","1","28976","28976","28976","1","1","1","54172","54172","54172","0.8","0.8","0.8","29244","29244","29244","1","1","1","29202","29202","29202","1","1","1","29312","29312","29312","1","1","1"
"1190","29363","29363","29363","1","1","1","28824","28824","28824","1","1","1","28978","28978","28978","1","1","1","54174","54174","54174","0.8","0.8","0.8","29246","29246","29246","1","1","1","29204","29204","29204","1","1","1","29314","29314","29314","0.8","0.8","0.8"
"1191","29365","29365","29365","1","1","1","28826","28826","28826","1","1","1","28980","28980","28980","1","1","1","54176","54176","54176","0.8","0.8","0.8","29248","29248","29248","1","1","1","29206","29206","29206","1","1","1","29316","29316","29316","1","1","1"
"1192","29367","29367","29367","1","1","1","28828","28828","28828","1","1","1","28982","28982","28982","1","1","1","54178","54178","54178","1","1","1","29250","29250","29250","1","1","1","29208","29208","29208","1","1","1","29318","29318","29318","0.8","0.8","0.8"
"1193","29369","29369","29369","1","1","1","28830","28830","28830","1","1","1","28984","28984","28984","1","1","1","54180","54180","54180","1","1","1","29252","29252","29252","1","1","1","29210","29210","29210","1","1","1","29320","29320","29320","0.8","0.8","0.8"
"1194","29371","29371","29371","1","1","1","28832","28832","28832","1","1","1","28986","28986","28986","1","1","1","54182","54182","54182","1","1","1","29254","29254","29254","1","1","1","29212","29212","29212","1","1","1","29322","29322","29322","1","1","1"
"1195","29373","29373","29373","1","1","1","28834","28834","28834","1","1","1","28988","28988","28988","1","1","1","54184","54184","54184","1","1","1","29256","29256","29256","1","1","1","29214","29214","29214","1","1","1","29324","29324","29324","1","1","1"
"1196","29375","29375","29375","1","1","1","28836","28836","28836","1","1","1","28990","28990","28990","1","1","1","54186","54186","54186","1","1","1","29258","29258","29258","1","1","1","29216","29216","29216","1","1","1","29326","29326","29326","1","1","1"
"1197","29538","29538","29538","0.8","0.8","0.8","28994","28994","28994","0.8","0.8","0.8","29151","29151","29151","1","1","1","54502","54502","54502","0.8","0.8","0.8","29415","29415","29415","1","1","1","29376","29376","29376","1","1","1","29484","29484","29484","1","1","1"
"1198","29540","29540","29540","1","1","1","28996","28996","28996","1","1","1","29153","29153","29153","1","1","1","54504","54504","54504","1","1","1","29417","29417","29417","1","1","1","29378","29378","29378","1","1","1","29486","29486","29486","0.8","0.8","0.8"
"1199","29542","29542","29542","1","1","1","28998","28998","28998","1","1","1","29155","29155","29155","1","1","1","54506","54506","54506","0.8","0.8","0.8","29419","29419","29419","1","1","1","29380","29380","29380","1","1","1","29488","29488","29488","0.8","0.8","0.8"
"1200","29544","29544","29544","1","1","1","29000","29000","29000","1","1","1","29157","29157","29157","1","1","1","54508","54508","54508","1","1","1","29421","29421","29421","1","1","1","29382","29382","29382","1","1","1","29490","29490","29490","1","1","1"
"1201","29546","29546","29546","1","1","1","29002","29002","29002","1","1","1","29159","29159","29159","1","1","1","54510","54510","54510","1","1","1","29423","29423","29423","1","1","1","29384","29384","29384","1","1","1","29492","29492","29492","1","1","1"
"1202","29548","29548","29548","1","1","1","29004","29004","29004","1","1","1","29161","29161","29161","1","1","1","54512","54512","54512","1","1","1","29425","29425","29425","1","1","1","29386","29386","29386","1","1","1","29494","29494","29494","1","1","1"
"1203","29550","29550","29550","1","1","1","29006","29006","29006","1","1","1","29163","29163","29163","1","1","1","54514","54514","54514","0.8","0.8","0.8","29427","29427","29427","1","1","1","29388","29388","29388","1","1","1","29496","29496","29496","1","1","1"
"1204","29552","29552","29552","1","1","1","29008","29008","29008","1","1","1","29165","29165","29165","1","1","1","54516","54516","54516","1","1","1","29429","29429","29429","1","1","1","29390","29390","29390","1","1","1","29498","29498","29498","1","1","1"
"1205","29554","29554","29554","1","1","1","29010","29010","29010","1","1","1","29167","29167","29167","1","1","1","54518","54518","54518","1","1","1","29431","29431","29431","1","1","1","29392","29392","29392","1","1","1","29500","29500","29500","1","1","1"
"1206","29714","29714","29714","1","1","1","29169","29169","29169","0.8","0.8","0.8","29328","29328","29328","1","1","1","54835","54835","54835","0.8","0.8","0.8","29588","29588","29588","1","1","1","29549","29549","29549","0.8","0.8","0.8","29667","29667","29667","1","1","1"
"1207","29716","29716","29716","1","1","1","29171","29171","29171","1","1","1","29330","29330","29330","1","1","1","54837","54837","54837","0.8","0.8","0.8","29590","29590","29590","1","1","1","29551","29551","29551","1","1","1","29669","29669","29669","0.8","0.8","0.8"
"1208","29718","29718","29718","1","1","1","29173","29173","29173","1","1","1","29332","29332","29332","1","1","1","54839","54839","54839","1","1","1","29592","29592","29592","1","1","1","29553","29553","29553","1","1","1","29671","29671","29671","1","1","1"
"1209","29720","29720","29720","1","1","1","29175","29175","29175","1","1","1","29334","29334","29334","1","1","1","54841","54841","54841","1","1","1","29594","29594","29594","1","1","1","29555","29555","29555","1","1","1","29673","29673","29673","1","1","1"
"1210","29722","29722","29722","1","1","1","29177","29177","29177","1","1","1","29336","29336","29336","1","1","1","54843","54843","54843","1","1","1","29596","29596","29596","1","1","1","29557","29557","29557","1","1","1","29675","29675","29675","1","1","1"
"1211","29724","29724","29724","1","1","1","29179","29179","29179","1","1","1","29338","29338","29338","1","1","1","54845","54845","54845","1","1","1","29598","29598","29598","1","1","1","29559","29559","29559","1","1","1","29677","29677","29677","1","1","1"
"1212","29726","29726","29726","1","1","1","29181","29181","29181","1","1","1","29340","29340","29340","1","1","1","54847","54847","54847","0.8","0.8","0.8","29600","29600","29600","1","1","1","29561","29561","29561","1","1","1","29679","29679","29679","1","1","1"
"1213","29728","29728","29728","1","1","1","29183","29183","29183","1","1","1","29342","29342","29342","1","1","1","54849","54849","54849","1","1","1","29602","29602","29602","1","1","1","29563","29563","29563","1","1","1","29681","29681","29681","1","1","1"
"1214","29730","29730","29730","1","1","1","29185","29185","29185","1","1","1","29344","29344","29344","1","1","1","54851","54851","54851","1","1","1","29604","29604","29604","1","1","1","29565","29565","29565","1","1","1","29683","29683","29683","1","1","1"
"1215","29889","29889","29889","0.8","0.8","0.8","29347","29347","29347","0.8","0.8","0.8","29508","29508","29508","1","1","1","55167","55167","55167","0.8","0.8","0.8","29766","29766","29766","1","1","1","29726","29726","29726","0.8","0.8","0.8","29845","29845","29845","1","1","1"
"1216","29891","29891","29891","1","1","1","29349","29349","29349","1","1","1","29510","29510","29510","1","1","1","55169","55169","55169","1","1","1","29768","29768","29768","1","1","1","29728","29728","29728","1","1","1","29847","29847","29847","0.8","0.8","0.8"
"1217","29893","29893","29893","1","1","1","29351","29351","29351","1","1","1","29512","29512","29512","1","1","1","55171","55171","55171","1","1","1","29770","29770","29770","1","1","1","29730","29730","29730","1","1","1","29849","29849","29849","1","1","1"
"1218","29895","29895","29895","1","1","1","29353","29353","29353","1","1","1","29514","29514","29514","1","1","1","55173","55173","55173","0.8","0.8","0.8","29772","29772","29772","1","1","1","29732","29732","29732","1","1","1","29851","29851","29851","1","1","1"
"1219","29897","29897","29897","1","1","1","29355","29355","29355","1","1","1","29516","29516","29516","1","1","1","55175","55175","55175","1","1","1","29774","29774","29774","0.8","0.8","0.8","29734","29734","29734","1","1","1","29853","29853","29853","1","1","1"
"1220","29899","29899","29899","1","1","1","29357","29357","29357","1","1","1","29518","29518","29518","1","1","1","55177","55177","55177","1","1","1","29776","29776","29776","1","1","1","29736","29736","29736","1","1","1","29855","29855","29855","0.8","0.8","0.8"
"1221","29901","29901","29901","1","1","1","29359","29359","29359","1","1","1","29520","29520","29520","1","1","1","55179","55179","55179","1","1","1","29778","29778","29778","1","1","1","29738","29738","29738","1","1","1","29857","29857","29857","1","1","1"
"1222","29903","29903","29903","1","1","1","29361","29361","29361","1","1","1","29522","29522","29522","1","1","1","55181","55181","55181","1","1","1","29780","29780","29780","1","1","1","29740","29740","29740","1","1","1","29859","29859","29859","1","1","1"
"1223","29905","29905","29905","1","1","1","29363","29363","29363","1","1","1","29524","29524","29524","1","1","1","55183","55183","55183","1","1","1","29782","29782","29782","1","1","1","29742","29742","29742","1","1","1","29861","29861","29861","0.9","0.9","0.9"
"1224","30072","30072","30072","0.8","0.8","0.8","29522","29522","29522","0.8","0.8","0.8","29685","29685","29685","1","1","1","55500","55500","55500","0.8","0.8","0.8","29942","29942","29942","1","1","1","29902","29902","29902","1","1","1","30022","30022","30022","1","1","1"
"1225","30074","30074","30074","0.8","0.8","0.8","29524","29524","29524","1","1","1","29687","29687","29687","1","1","1","55502","55502","55502","1","1","1","29944","29944","29944","1","1","1","29904","29904","29904","1","1","1","30024","30024","30024","1","1","1"
"1226","30076","30076","30076","1","1","1","29526","29526","29526","1","1","1","29689","29689","29689","1","1","1","55504","55504","55504","1","1","1","29946","29946","29946","1","1","1","29906","29906","29906","1","1","1","30026","30026","30026","0.8","0.8","0.8"
"1227","30078","30078","30078","1","1","1","29528","29528","29528","1","1","1","29691","29691","29691","1","1","1","55506","55506","55506","0.8","0.8","0.8","29948","29948","29948","1","1","1","29908","29908","29908","1","1","1","30028","30028","30028","1","1","1"
"1228","30080","30080","30080","1","1","1","29530","29530","29530","1","1","1","29693","29693","29693","1","1","1","55508","55508","55508","1","1","1","29950","29950","29950","1","1","1","29910","29910","29910","1","1","1","30030","30030","30030","1","1","1"
"1229","30082","30082","30082","1","1","1","29532","29532","29532","1","1","1","29695","29695","29695","1","1","1","55510","55510","55510","1","1","1","29952","29952","29952","0.8","0.8","0.8","29912","29912","29912","1","1","1","30032","30032","30032","1","1","1"
"1230","30084","30084","30084","1","1","1","29534","29534","29534","1","1","1","29697","29697","29697","1","1","1","55512","55512","55512","1","1","1","29954","29954","29954","1","1","1","29914","29914","29914","1","1","1","30034","30034","30034","1","1","1"
"1231","30086","30086","30086","1","1","1","29536","29536","29536","1","1","1","29699","29699","29699","1","1","1","55514","55514","55514","1","1","1","29956","29956","29956","1","1","1","29916","29916","29916","1","1","1","30036","30036","30036","1","1","1"
"1232","30088","30088","30088","1","1","1","29538","29538","29538","1","1","1","29701","29701","29701","1","1","1","55516","55516","55516","1","1","1","29958","29958","29958","1","1","1","29918","29918","29918","1","1","1","30038","30038","30038","1","1","1"
"1233","30252","30252","30252","0.8","0.8","0.8","29698","29698","29698","0.8","0.8","0.8","29863","29863","29863","1","1","1","55832","55832","55832","0.8","0.8","0.8","30119","30119","30119","0.8","0.8","0.8","30078","30078","30078","1","1","1","30196","30196","30196","1","1","1"
"1234","30254","30254","30254","1","1","1","29700","29700","29700","1","1","1","29865","29865","29865","1","1","1","55834","55834","55834","1","1","1","30121","30121","30121","1","1","1","30080","30080","30080","1","1","1","30198","30198","30198","1","1","1"
"1235","30256","30256","30256","1","1","1","29702","29702","29702","1","1","1","29867","29867","29867","1","1","1","55836","55836","55836","1","1","1","30123","30123","30123","1","1","1","30082","30082","30082","1","1","1","30200","30200","30200","0.8","0.8","0.8"
"1236","30258","30258","30258","1","1","1","29704","29704","29704","1","1","1","29869","29869","29869","1","1","1","55838","55838","55838","0.8","0.8","0.8","30125","30125","30125","0.8","0.8","0.8","30084","30084","30084","1","1","1","30202","30202","30202","1","1","1"
"1237","30260","30260","30260","1","1","1","29706","29706","29706","1","1","1","29871","29871","29871","1","1","1","55840","55840","55840","1","1","1","30127","30127","30127","1","1","1","30086","30086","30086","1","1","1","30204","30204","30204","1","1","1"
"1238","30262","30262","30262","1","1","1","29708","29708","29708","1","1","1","29873","29873","29873","1","1","1","55842","55842","55842","1","1","1","30129","30129","30129","1","1","1","30088","30088","30088","1","1","1","30206","30206","30206","1","1","1"
"1239","30264","30264","30264","1","1","1","29710","29710","29710","1","1","1","29875","29875","29875","1","1","1","55844","55844","55844","0.8","0.8","0.8","30131","30131","30131","1","1","1","30090","30090","30090","1","1","1","30208","30208","30208","1","1","1"
"1240","30266","30266","30266","1","1","1","29712","29712","29712","1","1","1","29877","29877","29877","1","1","1","55846","55846","55846","1","1","1","30133","30133","30133","1","1","1","30092","30092","30092","1","1","1","30210","30210","30210","1","1","1"
"1241","30268","30268","30268","1","1","1","29714","29714","29714","1","1","1","29879","29879","29879","1","1","1","55848","55848","55848","1","1","1","30135","30135","30135","1","1","1","30094","30094","30094","1","1","1","30212","30212","30212","1","1","1"
"1242","30425","30425","30425","1","1","1","29875","29875","29875","0.8","0.8","0.8","30036","30036","30036","1","1","1","56164","56164","56164","0.8","0.8","0.8","30293","30293","30293","1","1","1","30255","30255","30255","1","1","1","30368","30368","30368","1","1","1"
"1243","30427","30427","30427","1","1","1","29877","29877","29877","1","1","1","30038","30038","30038","1","1","1","56166","56166","56166","1","1","1","30295","30295","30295","1","1","1","30257","30257","30257","1","1","1","30370","30370","30370","1","1","1"
"1244","30429","30429","30429","1","1","1","29879","29879","29879","1","1","1","30040","30040","30040","1","1","1","56168","56168","56168","0.8","0.8","0.8","30297","30297","30297","1","1","1","30259","30259","30259","1","1","1","30372","30372","30372","0.8","0.8","0.8"
"1245","30431","30431","30431","1","1","1","29881","29881","29881","1","1","1","30042","30042","30042","1","1","1","56170","56170","56170","1","1","1","30299","30299","30299","1","1","1","30261","30261","30261","1","1","1","30374","30374","30374","1","1","1"
"1246","30433","30433","30433","1","1","1","29883","29883","29883","1","1","1","30044","30044","30044","1","1","1","56172","56172","56172","1","1","1","30301","30301","30301","1","1","1","30263","30263","30263","1","1","1","30376","30376","30376","1","1","1"
"1247","30435","30435","30435","1","1","1","29885","29885","29885","1","1","1","30046","30046","30046","1","1","1","56174","56174","56174","1","1","1","30303","30303","30303","1","1","1","30265","30265","30265","1","1","1","30378","30378","30378","1","1","1"
"1248","30437","30437","30437","1","1","1","29887","29887","29887","1","1","1","30048","30048","30048","1","1","1","56176","56176","56176","1","1","1","30305","30305","30305","1","1","1","30267","30267","30267","1","1","1","30380","30380","30380","1","1","1"
